1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,2
12,2
13,3
14,5
15,7
16,7
17,8
18,10
19,10
20,10
21,12
22,13
23,16
24,16
25,16
26,21
27,23
28,23
29,23
30,24
31,27
32,29
33,29
34,31
35,31
36,31
37,33
38,34
39,34
40,34
41,34
42,34
43,34
44,34
45,34
46,34
47,34
48,35
49,37
50,37
51,37
52,42
53,44
54,44
55,45
56,51
57,59
58,61
59,62
60,68
61,76
62,84
63,90
64,93
65,97
66,100
67,101
68,102
69,103
70,104
71,109
72,111
73,112
74,113
75,114
76,116
77,116
78,117
79,118
80,119
81,120
82,120
83,121
84,122
85,123
86,125
87,127
88,130
89,133
90,138
91,139
92,141
93,144
94,145
95,146
96,147
97,149
98,149
99,150
100,154
101,157
102,157
103,158
104,166
105,170
106,177
107,178
108,179
109,181
110,182
111,182
112,183
